"time","Volt"
2023-10-11 19:28:05,0.5625
2023-10-11 19:33:13,0.5625
2023-10-11 19:38:26,0.5625
2023-10-11 19:43:37,0.5625
2023-10-11 19:48:50,0.5625
2023-10-11 19:53:58,0.5625
2023-10-11 19:59:05,0.5625
2023-10-11 20:04:17,0.5625
2023-10-11 20:09:33,0.5625
2023-10-11 20:14:45,0.5625
2023-10-11 20:19:56,0.5625
2023-10-11 20:25:03,0.5625
2023-10-11 20:30:21,0.375
2023-10-11 20:35:29,0.5625
2023-10-11 20:40:42,0.5625
2023-10-11 20:45:53,0.5625
2023-10-11 20:51:07,0.5625
2023-10-11 20:56:15,0.5625
2023-10-11 21:01:28,0.5625
2023-10-11 21:06:28,0.5625
2023-10-11 21:11:35,0.5625
2023-10-11 21:16:48,0.5625
2023-10-11 21:22:00,0.5625
2023-10-11 21:27:13,0.5625
2023-10-11 21:32:13,0.5625
2023-10-11 21:37:21,0.5625
2023-10-11 21:42:33,0.5625
2023-10-11 21:47:47,0.5625
2023-10-11 21:52:55,0.5625
2023-10-11 21:58:03,0.5625
2023-10-11 22:03:16,0.5625
2023-10-11 22:08:28,0.5625
2023-10-11 22:13:41,0.5625
2023-10-11 22:18:45,0.5625
2023-10-11 22:24:10,0.5625
2023-10-11 22:29:18,0.5625
2023-10-11 22:34:26,0.5625
2023-10-11 22:39:38,0.5625
2023-10-11 22:44:46,0.375
2023-10-11 22:49:58,0.5625
2023-10-11 22:55:06,0.5625
2023-10-11 23:00:14,0.5625
2023-10-11 23:05:27,0.5625
2023-10-11 23:10:39,0.5625
2023-10-11 23:15:51,0.5625
2023-10-11 23:20:57,0.5625
2023-10-11 23:26:09,0.5625
2023-10-11 23:31:16,0.5625
2023-10-11 23:36:30,0.5625
2023-10-11 23:41:42,0.5625
2023-10-11 23:46:51,0.5625
2023-10-11 23:52:03,0.5625
2023-10-11 23:57:15,0.5625
2023-10-12 00:02:24,0.5625
2023-10-12 00:07:36,0.5625
2023-10-12 00:12:45,0.375
2023-10-12 00:17:57,0.5625
2023-10-12 00:23:04,0.5625
2023-10-12 00:28:16,0.5625
2023-10-12 00:33:25,0.375
2023-10-12 00:38:36,0.5625
2023-10-12 00:43:45,0.5625
2023-10-12 00:48:56,0.5625
2023-10-12 00:54:10,0.5625
2023-10-12 00:59:16,0.5625
2023-10-12 01:04:15,0.5625
2023-10-12 01:24:37,0.375
2023-10-12 01:45:33,0.5625
2023-10-12 02:06:23,0.5625
2023-10-12 02:26:56,0.375
2023-10-12 02:48:09,0.5625
2023-10-12 03:08:34,0.5625
2023-10-12 03:29:06,0.375
2023-10-12 03:50:09,0.5625
2023-10-12 04:10:51,0.5625
2023-10-12 04:31:23,0.5625
2023-10-12 04:52:20,0.5625
2023-10-12 05:13:18,0.5625
2023-10-12 05:18:19,0.5625
2023-10-12 05:39:15,0.5625
2023-10-12 05:59:55,0.5625
2023-10-12 06:20:51,0.5625
2023-10-12 06:42:19,0.5625
2023-10-12 07:02:54,0.5625
2023-10-12 07:23:26,0.5625
2023-10-12 07:44:26,0.75
2023-10-12 08:04:57,1.125
2023-10-12 08:25:25,1.3125
2023-10-12 08:46:23,1.875
2023-10-12 09:06:57,2.0625
2023-10-12 09:27:33,3.0
2023-10-12 09:48:34,2.625
2023-10-12 10:09:08,3.1875
2023-10-12 10:29:36,3.9375
2023-10-12 10:50:33,4.5
2023-10-12 11:11:30,4.3125
2023-10-12 11:31:59,4.125
2023-10-12 11:52:57,3.75
2023-10-12 12:13:30,3.9375
2023-10-12 12:33:58,3.75
2023-10-12 12:55:06,3.9375
2023-10-12 13:16:01,4.3125
2023-10-12 13:36:28,4.875
2023-10-12 13:57:26,3.5625
2023-10-12 14:02:26,4.125
2023-10-12 14:23:00,3.75
2023-10-12 14:43:56,2.0625
2023-10-12 15:04:27,1.875
2023-10-12 15:25:04,2.0625
2023-10-12 15:46:03,1.125
2023-10-12 16:06:42,0.9375
2023-10-12 16:27:27,1.125
2023-10-12 16:48:27,0.9375
2023-10-12 17:09:00,0.9375
2023-10-12 17:29:36,0.75
2023-10-12 17:50:34,0.75
2023-10-12 18:11:06,0.5625
2023-10-12 18:31:52,0.5625
2023-10-12 18:52:45,0.5625
2023-10-12 19:13:17,0.5625
2023-10-12 19:34:20,0.5625
2023-10-12 19:55:16,0.5625
2023-10-12 20:15:48,0.5625
2023-10-12 20:36:21,0.5625
2023-10-12 20:57:22,0.5625
2023-10-12 21:02:52,0.5625
2023-10-12 21:23:23,0.5625
2023-10-12 21:45:03,0.5625
2023-10-12 22:05:36,0.5625
2023-10-12 22:26:07,0.5625
2023-10-12 22:47:14,0.5625
2023-10-12 23:07:55,0.5625
2023-10-12 23:28:23,0.5625
2023-10-12 23:49:20,0.375
2023-10-13 00:10:07,0.5625
2023-10-13 00:30:43,0.5625
2023-10-13 00:51:41,0.375
2023-10-13 01:12:35,0.5625
2023-10-13 01:33:03,0.5625
2023-10-13 01:54:01,0.5625
2023-10-13 02:14:45,0.5625
2023-10-13 02:35:18,0.5625
2023-10-13 02:56:16,0.5625
2023-10-13 03:16:56,0.375
2023-10-13 03:37:25,0.5625
2023-10-13 03:58:26,0.5625
2023-10-13 04:19:11,0.5625
2023-10-13 04:39:38,0.5625
2023-10-13 05:00:35,0.5625
2023-10-13 05:21:29,0.5625
2023-10-13 05:42:45,0.5625
2023-10-13 05:47:50,0.5625
2023-10-13 06:08:16,0.375
2023-10-13 06:28:49,0.5625
2023-10-13 06:49:51,0.5625
2023-10-13 07:10:26,0.5625
2023-10-13 07:30:59,0.5625
2023-10-13 07:51:57,0.5625
2023-10-13 08:12:33,0.5625
2023-10-13 08:33:01,0.5625
2023-10-13 08:54:09,0.75
2023-10-13 09:14:54,0.75
2023-10-13 09:35:26,0.9375
2023-10-13 09:56:23,0.75
2023-10-13 10:17:06,0.9375
2023-10-13 10:37:37,0.9375
2023-10-13 10:58:37,1.3125
2023-10-13 11:19:35,1.125
2023-10-13 11:40:08,0.9375
2023-10-13 12:01:04,0.9375
2023-10-13 12:21:44,1.125
2023-10-13 12:42:11,0.9375
2023-10-13 13:03:12,1.125
2023-10-13 13:24:12,1.6875
2023-10-13 13:45:07,1.5
2023-10-13 14:06:29,1.875
2023-10-13 14:11:30,1.5
2023-10-13 14:31:56,1.3125
2023-10-13 14:52:52,1.125
2023-10-13 15:13:28,1.3125
2023-10-13 15:34:02,1.3125
2023-10-13 15:55:03,1.125
2023-10-13 16:15:59,1.3125
2023-10-13 16:36:28,0.9375
2023-10-13 16:57:25,0.9375
2023-10-13 17:18:00,0.75
2023-10-13 17:38:29,0.75
2023-10-13 17:59:27,0.5625
2023-10-13 18:20:33,0.5625
2023-10-13 18:41:21,0.5625
2023-10-13 19:02:29,0.5625
2023-10-13 19:23:01,0.5625
2023-10-13 19:43:49,0.5625
2023-10-13 20:04:44,0.5625
2023-10-13 20:25:16,0.5625
2023-10-13 20:46:18,0.5625
2023-10-13 21:07:15,0.5625
2023-10-13 21:27:48,0.5625
2023-10-13 21:48:39,0.5625
2023-10-13 22:09:37,0.5625
2023-10-13 22:30:16,0.375
2023-10-13 22:51:03,0.5625
2023-10-13 23:12:04,0.5625
2023-10-13 23:32:35,0.5625
2023-10-13 23:53:19,0.5625
2023-10-14 00:14:15,0.5625
2023-10-14 00:34:47,0.5625
2023-10-14 00:55:28,0.5625
2023-10-14 01:16:20,0.5625
2023-10-14 01:36:52,0.375
2023-10-14 01:58:15,0.375
2023-10-14 02:19:15,0.5625
2023-10-14 02:39:51,0.5625
2023-10-14 03:00:23,0.5625
2023-10-14 03:21:25,0.5625
2023-10-14 03:42:00,0.5625
2023-10-14 04:02:40,0.5625
2023-10-14 04:23:37,0.5625
2023-10-14 04:44:09,0.5625
2023-10-14 05:04:58,0.5625
2023-10-14 05:26:05,0.5625
2023-10-14 05:46:36,0.5625
2023-10-14 06:07:23,0.5625
2023-10-14 06:28:16,0.5625
2023-10-14 06:48:48,0.5625
2023-10-14 07:09:29,0.5625
2023-10-14 07:30:23,0.5625
2023-10-14 07:50:55,0.75
2023-10-14 08:11:48,0.9375
2023-10-14 08:32:45,0.9375
2023-10-14 08:53:28,1.125
2023-10-14 09:13:58,1.125
2023-10-14 09:34:56,2.25
2023-10-14 09:55:29,2.4375
2023-10-14 10:16:13,3.75
2023-10-14 10:37:10,2.8125
2023-10-14 10:57:41,3.0
2023-10-14 11:18:17,3.1875
2023-10-14 11:39:10,1.5
2023-10-14 11:59:42,3.1875
2023-10-14 12:20:30,2.8125
2023-10-14 12:41:31,3.1875
2023-10-14 13:02:04,4.125
2023-10-14 13:22:49,3.75
2023-10-14 13:43:48,4.3125
2023-10-14 14:04:28,3.375
2023-10-14 14:25:00,3.1875
2023-10-14 14:45:54,3.5625
2023-10-14 15:06:26,1.3125
2023-10-14 15:27:04,2.4375
2023-10-14 15:48:06,3.0
2023-10-14 16:08:38,2.4375
2023-10-14 16:29:19,2.4375
2023-10-14 16:50:12,1.5
2023-10-14 17:10:44,1.5
2023-10-14 17:31:46,1.125
2023-10-14 17:52:58,0.5625
2023-10-14 18:13:27,0.5625
2023-10-14 18:33:59,0.5625
2023-10-14 18:55:01,0.5625
2023-10-14 19:15:41,0.5625
2023-10-14 19:36:12,0.375
2023-10-14 19:57:44,0.5625
2023-10-14 20:18:17,0.5625
2023-10-14 20:38:48,0.5625
2023-10-14 20:59:53,0.5625
2023-10-14 21:20:33,0.5625
2023-10-14 21:41:06,0.375
2023-10-14 22:01:59,0.5625
2023-10-14 22:22:30,0.5625
2023-10-14 22:43:05,0.5625
2023-10-14 23:04:09,0.5625
2023-10-14 23:24:37,0.5625
2023-10-14 23:45:08,0.5625
2023-10-15 00:06:07,0.5625
2023-10-15 00:26:58,0.5625
2023-10-15 00:47:25,0.375
2023-10-15 01:08:22,0.5625
2023-10-15 01:29:22,0.375
2023-10-15 01:49:51,0.5625
2023-10-15 02:10:58,0.5625
2023-10-15 02:31:32,0.375
2023-10-15 02:52:00,0.5625
2023-10-15 03:12:57,0.375
2023-10-15 03:33:36,0.5625
2023-10-15 03:54:11,0.5625
2023-10-15 04:15:10,0.5625
2023-10-15 04:36:01,0.5625
2023-10-15 04:56:30,0.5625
2023-10-15 05:17:27,0.5625
2023-10-15 05:38:16,0.5625
2023-10-15 05:58:44,0.5625
2023-10-15 06:19:44,0.5625
2023-10-15 06:40:19,0.5625
2023-10-15 07:00:52,0.5625
2023-10-15 07:21:52,0.5625
2023-10-15 07:42:38,0.5625
2023-10-15 08:03:11,0.75
2023-10-15 08:24:08,1.125
2023-10-15 08:45:02,1.5
2023-10-15 09:05:42,1.6875
2023-10-15 09:26:42,1.875
2023-10-15 09:47:36,2.625
2023-10-15 10:08:04,3.0
2023-10-15 10:29:00,3.375
2023-10-15 10:49:41,2.8125
2023-10-15 11:10:15,3.375
2023-10-15 11:31:15,3.5625
2023-10-15 11:51:48,3.9375
2023-10-15 12:12:16,1.6875
2023-10-15 12:33:23,1.3125
2023-10-15 12:53:58,1.5
2023-10-15 13:14:26,1.5
2023-10-15 13:35:29,1.6875
2023-10-15 13:56:01,2.0625
2023-10-15 14:16:37,2.25
2023-10-15 14:21:41,1.6875
2023-10-15 14:42:08,3.0
2023-10-15 15:02:50,1.875
2023-10-15 15:23:42,1.875
2023-10-15 15:44:23,1.5
2023-10-15 16:05:17,2.4375
2023-10-15 16:26:18,5.625
2023-10-15 16:46:50,1.125
2023-10-15 17:07:31,1.125
2023-10-15 17:28:34,1.125
2023-10-15 17:49:05,0.75
2023-10-15 18:09:44,0.75
2023-10-15 18:30:35,0.5625
2023-10-15 18:51:07,0.5625
2023-10-15 19:12:11,0.5625
2023-10-15 19:33:10,0.5625
2023-10-15 19:53:42,0.5625
2023-10-15 20:14:27,0.5625
2023-10-15 20:19:28,0.5625
2023-10-15 20:39:59,0.5625
2023-10-15 21:00:30,0.5625
2023-10-15 21:21:31,0.375
2023-10-15 21:42:04,0.5625
2023-10-15 22:02:36,0.5625
2023-10-15 22:24:12,0.5625
2023-10-15 22:44:40,0.5625
2023-10-15 23:05:12,0.5625
2023-10-15 23:26:09,0.5625
2023-10-15 23:46:37,0.5625
2023-10-16 00:07:12,0.5625
2023-10-16 00:28:41,0.5625
2023-10-16 00:33:42,0.5625
2023-10-16 00:38:49,0.5625
2023-10-16 00:44:02,0.5625
2023-10-16 00:49:14,0.5625
2023-10-16 00:54:27,0.5625
2023-10-16 00:59:30,0.375
2023-10-16 01:04:42,0.5625
2023-10-16 01:09:49,0.5625
2023-10-16 01:15:01,0.5625
2023-10-16 01:20:13,0.5625
2023-10-16 01:25:27,0.5625
2023-10-16 01:30:38,0.5625
2023-10-16 01:35:45,0.5625
2023-10-16 01:40:57,0.375
2023-10-16 01:46:10,0.5625
2023-10-16 01:51:24,0.375
2023-10-16 01:56:31,0.5625
2023-10-16 02:01:39,0.5625
2023-10-16 02:06:47,0.5625
2023-10-16 02:11:55,0.5625
2023-10-16 02:17:02,0.5625
2023-10-16 02:22:14,0.5625
2023-10-16 02:27:27,0.375
2023-10-16 02:32:39,0.5625
2023-10-16 02:37:46,0.5625
2023-10-16 02:42:59,0.5625
2023-10-16 02:47:58,0.5625
2023-10-16 02:53:07,0.5625
2023-10-16 02:58:19,0.5625
2023-10-16 03:03:26,0.5625
2023-10-16 03:08:33,0.5625
2023-10-16 03:13:41,0.5625
2023-10-16 03:18:40,0.5625
2023-10-16 03:23:56,0.5625
2023-10-16 03:29:03,0.5625
2023-10-16 03:34:15,0.5625
2023-10-16 03:39:27,0.375
2023-10-16 03:44:39,0.5625
2023-10-16 03:49:49,0.5625
2023-10-16 03:55:02,0.5625
2023-10-16 04:00:14,0.5625
2023-10-16 04:05:26,0.5625
2023-10-16 04:10:39,0.5625
2023-10-16 04:15:50,0.5625
2023-10-16 04:21:02,0.5625
2023-10-16 04:26:10,0.5625
2023-10-16 04:31:18,0.5625
2023-10-16 04:36:30,0.5625
2023-10-16 04:41:42,0.5625
2023-10-16 04:46:55,0.5625
2023-10-16 04:52:08,0.5625
2023-10-16 04:57:07,0.5625
2023-10-16 05:02:19,0.5625
2023-10-16 05:07:26,0.5625
2023-10-16 05:12:38,0.375
2023-10-16 05:17:50,0.5625
2023-10-16 05:22:57,0.5625
2023-10-16 05:28:04,0.5625
2023-10-16 05:33:17,0.5625
2023-10-16 05:38:29,0.5625
2023-10-16 05:43:41,0.5625
2023-10-16 05:48:54,0.5625
2023-10-16 05:54:05,0.5625
2023-10-16 05:59:12,0.5625
2023-10-16 06:04:25,0.5625
2023-10-16 06:09:35,0.375
2023-10-16 06:14:49,0.5625
2023-10-16 06:20:00,0.5625
2023-10-16 06:25:09,0.5625
2023-10-16 06:30:22,0.5625
2023-10-16 06:35:34,0.5625
2023-10-16 06:40:46,0.5625
2023-10-16 06:45:59,0.5625
2023-10-16 06:51:10,0.375
2023-10-16 06:56:19,0.5625
2023-10-16 07:01:31,0.5625
2023-10-16 07:06:43,0.5625
2023-10-16 07:11:56,0.5625
2023-10-16 07:17:04,0.5625
2023-10-16 07:22:12,0.5625
2023-10-16 07:27:20,0.75
2023-10-16 07:32:33,0.5625
2023-10-16 07:37:46,0.5625
2023-10-16 07:42:57,0.75
2023-10-16 07:48:09,0.75
2023-10-16 07:53:17,0.75
2023-10-16 07:58:31,0.75
2023-10-16 08:03:39,0.75
2023-10-16 08:08:51,0.9375
2023-10-16 08:14:02,0.9375
2023-10-16 08:19:09,0.9375
2023-10-16 08:24:21,0.9375
2023-10-16 08:29:36,0.9375
2023-10-16 08:34:44,0.9375
2023-10-16 08:39:57,1.125
2023-10-16 08:45:09,1.125
2023-10-16 08:50:22,1.125
2023-10-16 08:55:35,1.125
2023-10-16 09:00:48,1.125
2023-10-16 09:06:00,1.125
2023-10-16 09:11:07,1.125
2023-10-16 09:16:15,1.125
2023-10-16 09:21:24,1.125
2023-10-16 09:26:35,1.3125
2023-10-16 09:31:48,1.6875
2023-10-16 09:37:02,1.3125
2023-10-16 09:42:12,1.6875
2023-10-16 09:47:24,1.5
2023-10-16 09:52:31,2.25
2023-10-16 09:57:45,1.6875
2023-10-16 10:02:52,3.5625
2023-10-16 10:08:06,2.8125
2023-10-16 10:13:15,2.8125
2023-10-16 10:18:23,5.8125
2023-10-16 10:23:34,7.6875
2023-10-16 10:28:46,8.8125
2023-10-16 10:33:59,9.0
2023-10-16 10:39:11,9.1875
2023-10-16 10:44:21,9.5625
2023-10-16 10:49:35,9.75
2023-10-16 10:54:47,9.9375
2023-10-16 11:00:00,9.1875
2023-10-16 11:05:08,10.3125
2023-10-16 11:10:16,10.5
2023-10-16 11:15:24,11.25
2023-10-16 11:20:39,2.4375
2023-10-16 11:25:52,2.8125
2023-10-16 11:31:03,1.875
2023-10-16 11:36:15,1.6875
2023-10-16 11:41:28,1.875
2023-10-16 11:46:36,2.0625
2023-10-16 11:51:48,1.5
2023-10-16 11:57:03,1.875
2023-10-16 12:02:10,2.625
2023-10-16 12:07:09,1.3125
2023-10-16 12:12:18,1.5
2023-10-16 12:17:32,1.3125
2023-10-16 12:22:40,1.5
2023-10-16 12:27:53,1.3125
2023-10-16 12:33:01,1.3125
2023-10-16 12:38:14,1.5
2023-10-16 12:43:29,1.3125
2023-10-16 12:48:41,1.3125
2023-10-16 12:53:53,1.6875
2023-10-16 12:59:03,1.5
2023-10-16 13:04:11,1.3125
2023-10-16 13:09:24,1.3125
2023-10-16 13:14:32,1.5
2023-10-16 13:19:45,1.3125
2023-10-16 13:24:59,1.6875
2023-10-16 13:30:11,1.3125
2023-10-16 13:35:24,1.3125
2023-10-16 13:40:37,1.3125
2023-10-16 13:45:44,1.5
2023-10-16 13:50:58,1.5
2023-10-16 13:56:09,1.3125
2023-10-16 14:01:22,1.3125
2023-10-16 14:06:35,1.875
2023-10-16 14:11:43,1.3125
2023-10-16 14:16:55,2.625
